,A01,A02,A03,A09,A10,A11,A12,A14,A15,A16,B01_011,B01_012,B01_013,B02_001,B02_002,B02_003,B02_004,B02_005,B02_006,B02_007,B02_008,B02_010,B03_014,B04_009,S01,S02,S03,S04,time
0,35.5,45.6,30044.0,485.0,35.1,51.7,19092.0,304.0,0.9,,,,,,,,,,,,,,,,29.3,22.5,0.5,10.6,2018-06-09 00:00:00
1,35.2,45.9,30228.0,482.0,35.5,51.6,19861.0,314.0,0.3,,,,,,,,,,,,,,,,29.6,22.5,0.5,10.4,2018-06-09 00:05:00
2,35.3,44.0,35758.0,475.0,36.7,48.3,20591.0,275.0,1.3,,,,,,,,,,,,,,,,29.3,22.7,0.5,10.3,2018-06-09 00:10:00
3,35.1,45.4,35573.0,473.0,38.4,43.3,21002.0,230.0,0.0,,,,,,,,,,,,,,,,29.7,22.5,0.5,10.3,2018-06-09 00:15:00
4,34.7,44.6,38338.0,474.0,37.6,46.1,21247.0,299.0,0.5,,,,,,,,,,,,,,,,29.2,22.5,0.4,10.2,2018-06-09 00:20:00
5,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 00:21:01
6,34.9,45.9,35205.0,471.0,39.0,43.6,21265.0,275.0,0.8,,,,,,,,,,,,,,,,29.8,22.5,0.5,10.2,2018-06-09 00:25:00
7,35.5,43.5,37969.0,472.0,39.5,41.1,21471.0,175.0,0.8,,,,,,,,,,,,,,,,30.1,22.5,0.5,10.1,2018-06-09 00:30:00
8,35.2,44.7,37048.0,471.0,39.6,40.6,21759.0,290.0,1.1,,,,,,,,,,,,,,,,30.0,22.5,0.4,9.9,2018-06-09 00:35:00
9,35.1,45.2,40366.0,471.0,39.1,42.1,21557.0,117.0,0.7,,,,,,,,,,,,,,,,30.2,22.3,0.5,9.9,2018-06-09 00:40:00
10,36.0,43.6,35573.0,471.0,38.9,41.1,21758.0,101.0,0.4,,,,,,,,,,,,,,,,30.7,22.3,0.5,9.8,2018-06-09 00:45:00
11,36.3,42.1,39444.0,468.0,38.0,42.4,21824.0,104.0,1.3,,,,,,,,,,,,,,,,30.8,22.5,0.5,9.8,2018-06-09 00:50:00
12,36.4,40.9,38891.0,468.0,38.9,42.5,21887.0,288.0,0.0,,,,,,,,,,,,,,,,30.6,22.3,0.5,9.8,2018-06-09 00:55:00
13,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 00:56:00
14,35.9,41.9,38154.0,465.0,39.6,40.8,22438.0,322.0,0.5,,,,,,,,,,,,,,,,30.5,22.6,0.5,9.8,2018-06-09 01:00:00
15,36.2,42.2,41472.0,462.0,39.5,40.4,22590.0,358.0,0.2,,,,,,,,,,,,,,,,31.0,22.5,0.5,9.8,2018-06-09 01:05:00
16,36.6,41.1,45711.0,457.0,38.2,42.5,22964.0,125.0,0.7,,,,,,,,,,,,,,,,31.5,22.5,0.5,9.8,2018-06-09 01:10:00
17,36.0,41.9,43683.0,457.0,37.5,43.7,22986.0,12.0,1.3,,,,,,,,,,,,,,,,30.7,22.5,0.5,9.7,2018-06-09 01:15:00
18,36.0,41.4,43499.0,454.0,37.1,44.8,22941.0,291.0,1.0,,,,,,,,,,,,,,,,30.8,22.3,0.5,9.7,2018-06-09 01:20:00
19,35.9,41.3,43315.0,451.0,37.2,44.8,22883.0,335.0,1.1,,,,,,,,,,,,,,,,30.7,22.3,0.5,9.6,2018-06-09 01:25:00
20,36.8,39.3,42946.0,451.0,37.3,45.3,22978.0,276.0,1.1,,,,,,,,,,,,,,,,31.3,22.5,0.5,9.5,2018-06-09 01:30:00
21,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 01:31:01
22,37.1,39.7,44236.0,449.0,37.9,43.1,23226.0,246.0,0.6,,,,,,,,,,,,,,,,31.7,22.3,0.5,9.5,2018-06-09 01:35:00
23,37.9,38.9,28016.0,446.0,39.2,41.4,23062.0,227.0,0.2,,,,,,,,,,,,,,,,32.2,22.2,0.5,9.5,2018-06-09 01:40:00
