,A01,A02,A03,A09,A10,A11,A12,A14,A15,A16,S01,S02,S03,S04
2018/3/6 09:15,26.7,61.4,3732,567,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.8,64.4,0.923985934,8.5
2018/3/6 09:20,26.1,62.8,3110,573,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.7,62.7,0.923985934,8.5
2018/3/6 09:25,25.7,66.6,2615,572,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.7,63.5,0.923985934,8.6
2018/3/6 09:30,25.2,68.6,2211,573,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.7,62,0.923985934,8.6
2018/3/6 09:35,24.7,70,1728,571,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.7,63.7,0.923985934,8.6
2018/3/6 09:40,24.3,71.8,1319,570,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.7,62.7,0.923985934,8.6
2018/3/6 09:45,23.9,72.8,996,571,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.7,63,0.923985934,8.6
2018/3/6 09:50,23.6,74.3,593,574,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.6,62.2,0.923985934,8.6
2018/3/6 09:55,23.3,73.7,365,573,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.6,62,0.923985934,8.6
2018/3/6 10:00,23.2,75.4,205,574,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.6,62.7,0.923985934,8.6
2018/3/6 10:05,23.1,76.8,99,574,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.6,63.7,0.923985934,8.6
2018/3/6 10:10,22.9,78.5,37,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.5,62.5,0.923985934,8.6
2018/3/6 10:15,22.7,79,12,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.5,62.7,0.923985934,8.6
2018/3/6 10:20,22.6,79.7,3,573,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.3,63.2,0.923985934,8.6
2018/3/6 10:25,22.5,80.4,0,578,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.2,63.2,0.923985934,8.6
2018/3/6 10:30,22.4,80.8,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.2,62.4,0.923985934,8.6
2018/3/6 10:35,22.3,81.1,0,578,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.2,61.7,0.923985934,8.6
2018/3/6 10:40,22.2,81.8,0,575,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.1,62.4,0.923985934,8.6
2018/3/6 10:45,22.1,82.6,0,578,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.1,62.9,0.923985934,8.6
2018/3/6 10:50,22,82.7,0,578,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.1,61.7,0.923985934,8.6
2018/3/6 10:55,22,81,0,579,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24.1,62.5,0.923985934,8.6
2018/3/6 11:00,21.9,80.4,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24,63.2,0.923985934,8.6
2018/3/6 11:05,21.8,78.9,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,24,62.9,0.923985934,8.6
2018/3/6 11:10,21.8,79.1,0,576.5,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.9,62.55,0.923985934,8.6
2018/3/6 11:15,21.7,79.3,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.8,62.2,1.3,8.6
2018/3/6 11:20,21.7,80.1,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.7,62.2,1.3,8.6
2018/3/6 11:25,21.7,81,0,574,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.7,63,1.3,8.6
2018/3/6 11:30,21.7,80.5,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.7,63.4,1.3,8.6
2018/3/6 11:35,21.6,79.3,0,580,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.6,61.4,1.3,8.6
2018/3/6 11:40,21.7,78.6,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.6,63,1.3,8.6
2018/3/6 11:45,21.6,79.6,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.6,62.9,1.3,8.6
2018/3/6 11:50,21.6,80,0,573,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.5,61.5,1.3,8.6
